Instance,PopulationSize,CrossoverRate,MutationRate,AvgFitness,AvgTruckCost,AvgEnergyCost,AvgTime
9,30,0.4,0.01,996.8,1650.0,345.7,7.772293138504028
9,30,0.4,0.05,996.5,1650.0,349.8,8.82430100440979
9,30,0.4,0.08,996.5,1650.0,354.6,9.113394975662231
9,30,0.4,0.1,996.5,1650.0,364.3,9.22178897857666
9,30,0.6,0.01,996.25,1650.0,346.4,7.823743438720703
9,30,0.6,0.05,996.5,1650.0,344.7,8.929585933685303
9,30,0.6,0.08,996.25,1650.0,361.0,9.238135647773742
9,30,0.6,0.1,996.1,1650.0,346.2,9.296132850646973
9,30,0.8,0.01,996.75,1650.0,345.7,7.838815212249756
9,30,0.8,0.05,996.5,1650.0,346.6,8.99652795791626
9,30,0.8,0.08,996.5,1650.0,357.5,9.217607307434083
9,30,0.8,0.1,996.2,1650.0,365.7,9.355090522766114
9,30,0.9,0.01,997.0,1650.0,345.8,7.935791015625
9,30,0.9,0.05,996.5,1650.0,352.1,9.047206854820251
9,30,0.9,0.08,996.5,1650.0,355.3,9.249632573127746
9,30,0.9,0.1,995.85,1650.0,354.1,9.368784832954407
9,40,0.4,0.01,996.65,1650.0,345.8,10.3687429189682
9,40,0.4,0.05,980.95,1689.7,360.5,11.778277444839478
9,40,0.4,0.08,996.1,1650.0,357.7,12.087561011314392
9,40,0.4,0.1,996.15,1650.0,351.9,12.322859287261963
9,40,0.6,0.01,995.7,1650.0,345.1,10.359668850898743
9,40,0.6,0.05,995.05,1650.0,349.6,11.926026797294616
9,40,0.6,0.08,996.5,1650.0,348.6,12.220060563087463
9,40,0.6,0.1,996.25,1650.0,353.3,12.304986500740052
9,40,0.8,0.01,996.55,1650.0,360.0,10.46244511604309
9,40,0.8,0.05,995.55,1650.0,354.2,11.965919470787048
9,40,0.8,0.08,995.55,1650.0,366.4,12.295440006256104
9,40,0.8,0.1,996.5,1650.0,353.3,12.360183572769165
9,40,0.9,0.01,996.75,1650.0,345.5,10.4572429895401
9,40,0.9,0.05,996.5,1650.0,355.7,11.985986757278443
9,40,0.9,0.08,996.5,1650.0,345.9,12.253143358230592
9,40,0.9,0.1,995.45,1650.0,350.2,12.387911009788514
9,50,0.4,0.01,996.55,1650.0,344.6,12.779296827316283
9,50,0.4,0.05,996.5,1650.0,357.0,14.694455695152282
9,50,0.4,0.08,996.5,1650.0,355.5,15.12343533039093
9,50,0.4,0.1,996.5,1650.0,358.6,15.279088163375855
9,50,0.6,0.01,995.75,1650.0,345.3,12.872881555557251
9,50,0.6,0.05,996.5,1650.0,363.6,14.894920229911804
9,50,0.6,0.08,996.5,1650.0,364.7,15.243047785758971
9,50,0.6,0.1,996.5,1650.0,369.5,15.331228065490723
9,50,0.8,0.01,996.5,1650.0,345.5,12.973344659805297
9,50,0.8,0.05,996.5,1650.0,354.8,14.90930633544922
9,50,0.8,0.08,996.5,1650.0,357.6,15.296858382225036
9,50,0.8,0.1,996.5,1650.0,356.5,15.420417952537537
9,50,0.9,0.01,995.75,1650.0,351.1,13.264361572265624
9,50,0.9,0.05,996.5,1650.0,352.7,14.99168848991394
9,50,0.9,0.08,996.6,1650.0,358.0,15.353857946395873
9,50,0.9,0.1,995.45,1650.0,361.8,15.465003490447998
9,60,0.4,0.01,979.0,1650.0,350.0,15.393425011634827
9,60,0.4,0.05,996.5,1650.0,351.5,17.525392723083495
9,60,0.4,0.08,996.5,1650.0,356.1,18.11598160266876
9,60,0.4,0.1,996.5,1650.0,356.8,18.296185541152955
9,60,0.6,0.01,996.7,1650.0,346.0,15.531954860687256
9,60,0.6,0.05,996.5,1650.0,354.3,17.765562844276428
9,60,0.6,0.08,996.5,1650.0,365.3,18.211887812614442
9,60,0.6,0.1,995.25,1650.0,353.1,18.385615348815918
9,60,0.8,0.01,996.6,1650.0,346.0,15.602122735977172
9,60,0.8,0.05,996.5,1650.0,355.6,17.883024597167967
9,60,0.8,0.08,996.5,1650.0,370.8,18.32108838558197
9,60,0.8,0.1,996.5,1650.0,348.0,18.437495827674866
9,60,0.9,0.01,996.55,1650.0,349.6,15.70202441215515
9,60,0.9,0.05,996.5,1650.0,345.8,17.99003231525421
9,60,0.9,0.08,996.5,1650.0,365.5,18.32526113986969
9,60,0.9,0.1,996.5,1650.0,353.7,18.44456934928894
30,30,0.4,0.01,3165.65,5081.0,1260.7,25.145412468910216
30,30,0.4,0.05,3165.5,5081.0,1273.7,27.807609128952027
30,30,0.4,0.08,3165.55,5081.0,1291.7,28.008027148246764
30,30,0.4,0.1,3165.6,5081.0,1306.6,28.05685911178589
30,30,0.6,0.01,3165.75,5081.0,1257.1,25.882381987571716
30,30,0.6,0.05,3165.6,5081.0,1278.4,27.89864053726196
30,30,0.6,0.08,3165.65,5081.0,1320.4,28.069019746780395
30,30,0.6,0.1,3165.8,5081.0,1310.8,28.032814574241637
30,30,0.8,0.01,3164.2,5081.0,1249.0,26.11325595378876
30,30,0.8,0.05,3165.5,5081.0,1283.3,27.924587726593018
30,30,0.8,0.08,3165.55,5081.0,1281.3,28.026207304000856
30,30,0.8,0.1,3165.6,5081.0,1284.2,28.0901437997818
30,30,0.9,0.01,3165.75,5081.0,1259.0,26.247387647628784
30,30,0.9,0.05,3165.5,5081.0,1280.2,27.95905454158783
