Instance,BestFitness,BestFitness_random,Objective,Gap(%),ExecutionTime(s)_GA,ExecutionTime(s)_random,ExecutionTime(s)_Exact
1,2046.0,1230.25,1439.0016,42.18191279286972,3.818,0.411,0.142
2,4673.25,2347.5,2888.0014,61.816057291384965,5.025,0.431,0.079
3,1278.25,11556.0,721.0008,77.28829149704133,3.939,0.527,0.086
4,2832.5,17722.75,1555.5004994046228,82.09573067216348,4.669,0.774,1.475
5,6094.0,9362.75,3643.5017,67.25668057187953,6.76,0.6,208.119
6,3809.0,17909.5,2347.5015,62.25761730077702,4.953,0.867,256.243
7,4897.5,5240.5,2582.0007,89.6784923412298,5.959,0.805,0.338
8,3384.0,2479.0,1874.0035000000005,80.57597010891385,6.573,0.341,311.724
11,1185.75,8066.0,1304.0004,0.0,2.926,0.747,0.209
14,2177.5,5036.75,1375.0005999999998,58.36356725953431,5.632,0.537,22.491
15,1867.0,8488.75,1340.5012,39.27626472844635,2.437,0.627,0.026
16,981.75,4708.25,588.5008,66.82220313039505,4.842,0.442,0.072
17,1359.0,3559.25,745.001,82.4158625290436,2.747,1.028,0.029
18,5493.5,11578.0,2533.0048,116.8768097083748,6.201,0.593,17.468
20,5772.5,13756.25,3325.0019999999995,73.60891812997409,7.34,0.87,1059.178
21,2384.25,9647.25,1691.0020000000002,40.99628504283258,4.13,0.76,0.129
22,1555.5,11172.0,831.002,87.1836650212635,3.368,0.813,0.043
23,1946.75,2552.25,1070.0010000000002,81.93908229992304,4.38,0.415,0.248
27,2553.25,1309.5,1367.0017,86.77738293961156,4.098,0.494,17.248
28,1922.25,1855.5,1056.5005999999998,81.94499842214952,3.542,0.262,0.159
30,2305.0,5715.5,1306.0024,76.49278439304551,6.813,0.556,0.108
