Instance,BestFitness_GA,BestFitness_random,Objective,Gap(%),ExecutionTime(s)_GA,ExecutionTime(s)_random,ExecutionTime(s)_Exact
1,1760.5,1441.0,1439.0,22.341904100069492,6.244,6.224,0.144
2,2044.0,2029.0,2888.0,0.0,11.442,18.94,0.054
3,720.5,485.0,721.0,0.0,7.653,16.681,0.065
4,1561.0,1377.0,1555.5,0.35358405657344905,10.747,17.661,1.767
5,3625.5,3912.0,3643.5,0.0,18.275,21.284,636.9
6,2206.5,2641.5,2347.5,0.0,18.62,14.248,128.696
7,2632.5,2362.5,2582.0,1.9558481797056546,16.922,20.991,0.403
8,1617.5,1492.0,1874.0,0.0,11.632,24.024,32.673
11,1196.0,1038.0,1304.0,0.0,6.771,11.918,0.15
14,1253.0,1333.5,1375.0,0.0,11.92,16.509,12.109
15,1007.5,1307.5,1340.5,0.0,6.051,9.07,0.029
16,591.0,699.0,588.5,0.42480883602378927,7.832,15.142,0.065
17,750.0,1085.5,745.0,0.6711409395973155,5.231,11.006,0.023
18,2936.5,2105.0,2533.0,15.929727595736281,11.846,23.358,9.709
20,3103.0,3101.5,3325.0,0.0,17.339,30.138,77.489
21,1275.5,1564.5,1691.0,0.0,7.255,16.958,0.106
22,833.5,832.0,831.0,0.3008423586040915,6.161,19.566,0.031
23,1074.0,1074.5,1070.0,0.37383177570093457,8.994,22.378,0.163
27,1373.0,1628.0,1367.0,0.4389173372348208,12.627,8.186,9.834
28,1065.0,1627.0,1056.5,0.8045433033601515,13.349,6.503,0.147
30,1346.0,1308.0,1306.0,3.0627871362940278,19.483,12.754,0.079
