Instance,ContainerID,Length,Position,Destination
1,1,1,37,1
1,2,4,48,1
1,3,4,64,1
1,4,5,56,1
2,1,4,67,1
2,2,2,49,1
2,3,3,4,1
2,4,1,73,1
2,5,1,21,1
3,1,3,54,1
3,2,3,11,1
3,3,3,3,1
3,4,4,2,1
3,5,3,16,1
3,6,10,5,1
4,1,1,52,1
4,2,5,30,1
4,3,5,69,1
4,4,1,9,1
4,5,10,7,1
4,6,2,71,1
4,7,5,43,1
5,1,3,9,1
5,2,5,59,1
5,3,3,66,1
5,4,4,6,1
5,5,10,4,1
5,6,1,34,1
5,7,10,70,1
5,8,3,73,1
6,1,5,41,1
6,2,5,69,1
6,3,5,25,1
6,4,2,20,1
6,5,4,29,1
6,6,5,72,1
6,7,4,28,1
6,8,1,55,1
6,9,2,64,1
7,1,1,45,1
7,2,1,42,1
7,3,10,6,1
7,4,2,59,1
7,5,10,70,1
7,6,5,37,1
7,7,4,4,1
7,8,10,18,1
7,9,4,49,1
7,10,3,35,1
8,1,4,35,1
8,2,10,32,1
8,3,3,11,1
8,4,2,72,1
8,5,2,45,1
8,6,3,41,1
8,7,2,9,1
8,8,5,55,1
8,9,1,43,1
8,10,1,30,1
8,11,3,56,1
9,1,2,65,1
9,2,2,30,1
9,3,4,71,1
9,4,10,71,1
9,5,5,47,1
9,6,3,52,1
9,7,1,4,1
9,8,1,62,1
9,9,3,39,1
9,10,4,25,1
9,11,4,22,1
9,12,1,8,1
10,1,3,7,2
10,2,3,53,1
10,3,2,21,2
10,4,2,45,2
11,1,5,28,2
11,2,5,62,2
11,3,10,59,1
11,4,1,22,2
11,5,10,17,2
12,1,2,57,2
12,2,4,63,2
12,3,2,58,2
12,4,5,49,1
12,5,10,26,1
12,6,4,71,2
13,1,1,26,1
13,2,10,39,1
13,3,10,24,2
13,4,1,46,2
13,5,5,50,2
13,6,5,52,2
13,7,10,55,1
14,1,5,2,2
14,2,10,67,2
14,3,5,54,1
14,4,1,48,1
14,5,3,33,1
14,6,1,74,1
14,7,1,75,1
14,8,4,4,1
15,1,1,48,1
15,2,2,66,2
15,3,4,38,2
15,4,10,49,1
15,5,10,22,2
15,6,4,51,1
15,7,10,75,2
15,8,5,33,1
15,9,5,19,1
16,1,5,26,1
16,2,10,26,1
16,3,2,58,2
16,4,3,37,2
16,5,4,54,2
16,6,5,14,1
16,7,4,28,2
16,8,1,58,2
16,9,10,48,1
16,10,1,18,2
17,1,2,11,2
17,2,1,18,2
17,3,10,3,1
17,4,4,49,2
17,5,5,39,1
17,6,10,75,2
17,7,10,23,1
17,8,1,48,1
17,9,3,40,1
17,10,1,25,1
17,11,5,12,2
18,1,3,37,1
18,2,3,30,2
18,3,4,43,1
18,4,1,24,1
18,5,4,6,1
18,6,10,2,2
18,7,10,22,1
18,8,3,20,1
18,9,5,73,1
18,10,3,20,1
18,11,5,29,2
18,12,2,70,2
19,1,4,24,3
19,2,2,42,2
19,3,3,4,2
19,4,3,46,1
20,1,5,23,1
20,2,2,60,2
20,3,10,46,1
20,4,5,24,1
20,5,1,34,3
21,1,4,57,2
21,2,3,62,3
21,3,1,50,3
21,4,1,10,3
21,5,2,38,1
21,6,10,40,3
22,1,4,16,3
22,2,5,52,3
22,3,10,3,1
22,4,3,26,3
22,5,10,19,1
22,6,4,57,1
22,7,10,4,1
23,1,4,37,2
23,2,5,29,2
23,3,4,68,2
23,4,5,44,3
23,5,4,29,1
23,6,5,60,2
23,7,2,61,3
23,8,10,6,2
24,1,1,40,2
24,2,2,58,2
24,3,3,72,1
24,4,10,64,1
24,5,4,67,1
24,6,10,9,3
24,7,3,22,2
24,8,10,59,3
24,9,5,4,3
25,1,1,15,2
25,2,4,54,2
25,3,5,55,2
25,4,5,36,1
25,5,10,6,3
25,6,2,37,1
25,7,2,57,1
25,8,1,13,2
25,9,3,32,2
25,10,10,2,2
26,1,10,60,3
26,2,10,65,1
26,3,5,75,1
26,4,4,61,2
26,5,10,43,2
26,6,5,47,1
26,7,5,16,1
26,8,5,62,1
26,9,3,8,1
26,10,5,23,1
26,11,2,1,3
27,1,10,5,1
27,2,2,9,3
27,3,3,42,3
27,4,4,60,2
27,5,5,57,3
27,6,3,72,3
27,7,4,19,2
27,8,4,9,2
27,9,3,19,1
27,10,2,40,1
27,11,10,65,1
27,12,1,13,2
