Instance,ContainerID,Length,Position,Destination
1,1,5,25,1
1,2,4,7,1
2,1,2,46,1
2,2,5,24,2
2,3,3,55,1
3,1,4,28,1
3,2,5,16,4
3,3,4,44,1
3,4,4,11,2
3,5,2,75,1
3,6,1,29,1
3,7,2,67,3
4,1,1,26,2
4,2,4,43,1
4,3,2,3,2
4,4,1,19,1
4,5,1,43,3
4,6,1,26,3
4,7,4,42,2
4,8,3,53,1
4,9,4,58,2
4,10,3,24,1
4,11,1,5,1
5,1,5,45,1
5,2,1,40,2
5,3,3,21,2
5,4,2,19,1
5,5,4,45,1
5,6,4,50,2
5,7,4,30,1
5,8,5,40,2
5,9,1,42,1
5,10,3,24,2
5,11,5,65,2
6,1,4,3,4
6,2,1,34,1
6,3,2,64,3
6,4,4,58,3
6,5,2,60,3
6,6,4,18,2
6,7,3,47,4
6,8,3,10,3
6,9,3,43,2
6,10,2,56,1
6,11,1,12,3
7,1,2,75,1
7,2,4,40,1
7,3,4,70,1
7,4,3,38,1
7,5,3,41,1
7,6,2,25,1
7,7,5,18,1
7,8,3,15,1
7,9,2,9,1
7,10,2,20,1
7,11,3,12,1
7,12,3,55,1
8,1,2,11,3
8,2,4,36,2
8,3,2,11,2
9,1,3,30,4
9,2,4,71,1
9,3,1,30,4
9,4,3,73,1
9,5,2,58,3
9,6,4,22,3
10,1,4,32,2
10,2,4,36,3
10,3,5,10,3
10,4,4,65,2
10,5,1,15,3
10,6,1,20,2
10,7,1,68,2
10,8,5,30,2
11,1,2,41,2
11,2,2,51,2
11,3,5,22,3
11,4,2,54,3
11,5,2,24,3
11,6,4,54,2
11,7,3,49,1
12,1,4,75,3
12,2,4,54,2
12,3,3,29,4
12,4,1,50,2
12,5,4,60,3
13,1,1,36,1
13,2,4,71,2
13,3,2,56,1
13,4,1,39,1
13,5,5,39,2
13,6,3,39,2
13,7,3,51,1
14,1,2,73,1
14,2,3,32,3
14,3,5,7,1
14,4,5,68,3
14,5,5,38,3
14,6,1,69,2
14,7,3,14,1
15,1,3,26,1
15,2,5,15,2
15,3,5,38,3
15,4,3,44,2
15,5,1,71,3
16,1,5,70,3
16,2,3,2,3
16,3,1,17,2
16,4,4,32,2
17,1,2,24,1
17,2,2,52,1
17,3,5,53,1
17,4,5,73,1
17,5,3,59,1
17,6,2,48,1
17,7,1,21,1
17,8,4,55,1
17,9,1,21,1
18,1,2,40,1
18,2,3,38,1
18,3,3,43,1
18,4,5,64,3
18,5,5,44,3
18,6,5,19,3
18,7,5,1,1
19,1,3,24,4
19,2,1,11,4
19,3,2,23,3
19,4,3,27,4
19,5,5,3,4
19,6,3,56,1
19,7,3,27,2
20,1,5,32,1
20,2,5,60,1
20,3,3,28,1
20,4,3,42,2
20,5,2,14,2
20,6,3,17,2
20,7,3,38,1
20,8,2,65,1
20,9,4,27,1
20,10,1,13,1
20,11,4,50,2
21,1,1,28,2
21,2,2,67,1
21,3,3,37,1
21,4,4,8,2
21,5,2,4,2
21,6,4,44,2
21,7,5,30,1
21,8,3,24,2
21,9,1,42,1
21,10,4,68,2
22,1,5,28,3
22,2,1,47,2
22,3,4,21,1
22,4,3,58,2
22,5,5,51,4
22,6,2,43,3
22,7,4,10,4
22,8,1,67,4
22,9,5,11,4
23,1,1,35,1
23,2,4,35,1
23,3,1,49,2
23,4,3,7,1
23,5,2,44,2
24,1,3,71,1
24,2,2,8,4
24,3,3,47,1
24,4,3,22,4
24,5,3,54,1
24,6,5,61,4
24,7,1,30,2
24,8,1,52,3
25,1,2,29,2
25,2,5,24,2
25,3,2,40,1
25,4,1,20,2
25,5,5,54,1
25,6,3,38,1
25,7,4,24,2
26,1,5,8,2
26,2,2,23,2
26,3,4,30,1
26,4,2,63,1
26,5,3,69,1
26,6,3,26,2
26,7,4,5,2
26,8,4,36,2
26,9,4,67,1
26,10,1,39,1
26,11,2,28,2
26,12,4,32,2
27,1,1,75,1
27,2,1,4,2
27,3,2,53,1
28,1,2,52,2
28,2,2,62,1
28,3,2,41,2
29,1,5,67,3
29,2,1,52,2
29,3,3,30,1
29,4,5,20,2
29,5,3,73,2
30,1,5,55,1
30,2,4,59,1
30,3,3,31,1
30,4,2,44,1
30,5,5,27,1
30,6,1,54,1
30,7,3,19,1
30,8,4,55,1
30,9,4,49,1
30,10,1,6,1
30,11,5,17,1
