Instance,DockID,Position
1,1,5
1,2,4
1,3,2
1,4,1
1,5,3
2,1,4
2,2,5
2,3,3
2,4,2
2,5,1
3,1,2
3,2,3
3,3,4
3,4,1
3,5,5
4,1,4
4,2,5
4,3,2
4,4,1
4,5,3
5,1,2
5,2,5
5,3,3
5,4,4
5,5,1
6,1,2
6,2,1
6,3,3
6,4,5
6,5,4
7,1,5
7,2,1
7,3,3
7,4,2
7,5,4
8,1,2
8,2,4
8,3,5
8,4,3
8,5,1
9,1,5
9,2,1
9,3,4
9,4,2
9,5,3
10,1,1
10,2,5
10,3,3
10,4,2
10,5,4
11,1,1
11,2,2
11,3,5
11,4,4
11,5,3
12,1,5
12,2,1
12,3,3
12,4,2
12,5,4
13,1,3
13,2,1
13,3,4
13,4,5
13,5,2
14,1,4
14,2,2
14,3,1
14,4,3
14,5,5
15,1,4
15,2,2
15,3,3
15,4,5
15,5,1
16,1,1
16,2,2
16,3,4
16,4,3
16,5,5
17,1,3
17,2,1
17,3,5
17,4,4
17,5,2
18,1,1
18,2,2
18,3,5
18,4,4
18,5,3
19,1,4
19,2,5
19,3,2
19,4,1
19,5,3
20,1,2
20,2,1
20,3,4
20,4,5
20,5,3
21,1,5
21,2,1
21,3,4
21,4,3
21,5,2
22,1,4
22,2,1
22,3,5
22,4,3
22,5,2
23,1,1
23,2,2
23,3,3
23,4,5
23,5,4
24,1,1
24,2,4
24,3,5
24,4,2
24,5,3
25,1,5
25,2,2
25,3,1
25,4,4
25,5,3
26,1,4
26,2,5
26,3,3
26,4,2
26,5,1
27,1,5
27,2,1
27,3,2
27,4,3
27,5,4
