Instance,ContainerID,Length,Position,Destination
1,1,5,25,2
1,2,4,7,1
1,3,5,29,2
1,4,4,28,2
2,1,2,46,1
2,2,5,24,2
2,3,3,55,3
2,4,5,6,3
2,5,5,70,3
2,6,5,24,3
2,7,4,57,1
2,8,5,17,1
3,1,4,28,3
3,2,1,16,3
3,3,4,60,2
3,4,1,63,1
3,5,2,29,3
3,6,1,6,1
3,7,1,17,3
3,8,5,38,1
3,9,4,75,3
3,10,4,30,3
3,11,5,32,1
3,12,3,26,3
3,13,2,66,2
4,1,1,26,2
4,2,4,43,1
4,3,2,3,2
4,4,1,19,1
4,5,1,43,3
4,6,1,26,5
4,7,3,51,3
4,8,5,22,3
4,9,4,6,4
4,10,4,69,2
4,11,3,24,5
5,1,5,45,1
5,2,1,40,3
5,3,3,21,3
5,4,2,19,1
5,5,4,45,2
5,6,4,50,4
5,7,4,30,2
5,8,5,40,3
5,9,1,42,1
5,10,3,24,4
6,1,4,3,4
6,2,1,34,1
6,3,2,64,3
6,4,4,58,3
6,5,2,60,3
6,6,4,18,2
6,7,3,47,4
7,1,2,75,4
7,2,4,40,2
7,3,4,70,1
7,4,3,38,1
7,5,3,41,2
7,6,2,25,2
7,7,5,18,2
7,8,3,15,1
8,1,2,11,2
8,2,3,49,1
8,3,1,39,1
8,4,2,26,2
8,5,2,15,1
8,6,1,72,2
9,1,3,30,4
9,2,4,71,1
9,3,1,30,5
9,4,4,39,5
9,5,5,11,2
9,6,4,65,3
9,7,4,22,3
9,8,5,67,3
9,9,1,67,2
9,10,1,44,5
9,11,2,18,5
9,12,2,52,4
9,13,2,55,3
10,1,4,32,4
10,2,4,36,1
10,3,5,54,3
10,4,1,15,1
11,1,2,41,2
11,2,2,51,2
11,3,5,22,3
11,4,2,54,3
11,5,2,24,3
11,6,4,54,2
11,7,3,49,1
11,8,3,64,1
11,9,3,31,3
12,1,4,75,3
12,2,4,54,2
12,3,3,29,4
12,4,1,50,2
12,5,4,60,3
12,6,3,25,2
12,7,5,22,4
12,8,5,45,4
13,1,1,36,1
13,2,4,71,2
13,3,2,56,1
13,4,1,39,1
13,5,5,39,2
13,6,3,39,2
13,7,3,51,1
13,8,4,50,2
13,9,1,67,2
14,1,2,73,1
14,2,3,32,1
14,3,2,67,3
14,4,5,9,3
15,1,3,26,1
15,2,5,15,2
15,3,5,38,2
15,4,3,62,1
15,5,5,71,1
15,6,2,6,2
16,1,5,70,3
16,2,1,16,2
16,3,4,62,2
16,4,3,53,4
16,5,5,10,4
16,6,1,41,3
17,1,2,24,1
17,2,2,52,1
17,3,5,53,3
17,4,1,68,3
17,5,3,45,2
17,6,1,17,2
17,7,4,9,1
17,8,4,50,3
17,9,4,54,1
17,10,2,55,3
17,11,2,19,2
17,12,5,57,2
18,1,2,40,1
18,2,3,38,1
18,3,3,43,1
18,4,5,64,3
18,5,5,67,2
18,6,5,66,1
18,7,2,73,2
18,8,4,37,1
18,9,5,8,3
19,1,3,24,5
19,2,5,56,1
19,3,1,55,2
19,4,2,33,3
20,1,5,32,1
20,2,5,60,1
20,3,3,28,1
20,4,3,42,2
20,5,2,14,3
20,6,3,39,1
20,7,3,37,2
21,1,1,28,4
21,2,2,67,2
21,3,3,37,2
21,4,4,8,4
21,5,2,4,4
21,6,4,44,4
21,7,5,30,2
21,8,3,24,4
21,9,1,42,2
21,10,4,68,4
21,11,2,42,1
21,12,4,3,2
21,13,3,59,3
22,1,5,28,2
22,2,1,47,1
22,3,4,21,1
22,4,3,58,1
22,5,5,51,2
22,6,2,43,2
22,7,4,10,2
22,8,1,67,2
22,9,5,11,2
22,10,3,48,1
23,1,1,35,1
23,2,4,35,1
23,3,1,49,3
23,4,3,7,2
23,5,2,44,3
23,6,2,21,1
23,7,4,12,4
24,1,3,71,1
24,2,2,8,2
24,3,3,47,1
24,4,3,22,2
24,5,3,54,1
24,6,5,61,2
24,7,1,30,1
24,8,1,52,2
24,9,2,19,2
24,10,2,46,2
24,11,4,22,1
24,12,4,66,1
25,1,2,29,3
25,2,5,24,3
25,3,2,40,1
25,4,1,20,4
25,5,5,54,1
25,6,3,38,2
25,7,4,24,4
25,8,2,7,3
25,9,5,69,4
26,1,5,8,3
26,2,5,59,1
26,3,2,61,2
26,4,2,21,3
26,5,2,63,1
26,6,3,69,1
26,7,3,26,2
26,8,4,5,2
26,9,4,36,2
26,10,4,67,1
26,11,1,39,1
27,1,1,75,1
27,2,1,4,3
27,3,2,53,2
27,4,3,40,4
27,5,1,41,3
27,6,5,16,4
27,7,1,12,3
27,8,3,3,4
27,9,2,48,4
27,10,3,15,1
27,11,3,13,3
27,12,3,68,1
28,1,2,52,3
28,2,3,18,2
28,3,1,20,2
28,4,5,33,3
28,5,5,72,2
28,6,1,15,1
28,7,3,48,1
28,8,4,22,2
28,9,5,46,2
28,10,3,64,2
28,11,5,45,2
29,1,5,67,3
29,2,1,52,2
29,3,3,30,1
29,4,5,20,2
29,5,3,73,2
29,6,2,62,4
29,7,2,14,3
29,8,1,34,1
30,1,5,55,3
30,2,4,59,1
30,3,3,31,5
30,4,3,29,3
30,5,5,14,5
30,6,2,46,1
30,7,4,4,3
