Instance,file name,containers,Destinations,Trucks,Docks,Objective,F1,F2,Status,MipGap,Nodes,UsedTrucks,ExecutionTime(s)
9,inst_9_2_7.txt,9,2,7,15,987.0,1650.0,324.0,Optimal,0.0,1016847.0,4.0,48.84
30,inst_30_7_20.txt,30,7,20,15,3108.5,5081.0,1136.0,TimeLimit,0.21039086376065627,14535635.0,13.0,10800.068
8,inst_8_1_5.txt,8,1,5,15,1027.5,1821.0,234.0,Optimal,0.0,13218.0,3.0,2.686
5,inst_5_2_4.txt,5,2,4,15,1009.0,1835.0,183.0,Optimal,0.0,1.0,3.0,0.031
12,inst_12_3_7.txt,12,3,7,15,2063.5,3699.0,428.0,TimeLimit,0.01574993942330991,118868750.0,6.0,10800.047
10,inst_10_1_7.txt,10,1,7,15,943.5,1588.0,299.0,Optimal,0.0,54806.0,4.0,9.272
9,inst_9_3_7.txt,9,3,7,15,1336.5,2331.0,342.0,Optimal,0.0,941079.0,4.0,46.882
11,inst_11_2_7.txt,11,2,7,15,1121.5,1876.0,367.0,Optimal,0.0,5303595.0,4.0,92.707
11,inst_11_3_7.txt,11,3,7,15,1219.5,2042.0,397.0,TimeLimit,0.023370233702337023,140270784.0,5.0,10800.15
4,inst_4_3_4.txt,4,3,4,15,825.0,1542.0,108.0,Optimal,0.0,1.0,3.0,2.433
11,inst_11_1_7.txt,11,1,7,15,793.0,1276.0,310.0,Optimal,0.0,78261.0,4.0,8.321
4,inst_4_2_4.txt,4,2,4,15,616.0,1096.0,136.0,Optimal,0.0,1.0,2.0,0.103
5,inst_5_1_4.txt,5,1,4,15,474.5,750.0,199.0,Optimal,0.0,1819.0,2.0,0.395
4,inst_4_1_4.txt,4,1,4,15,243.5,351.0,136.0,Optimal,0.0,1.0,1.0,0.023
12,inst_12_1_7.txt,12,1,7,15,1206.0,2035.0,377.0,Optimal,0.0,61046.0,5.0,17.698
6,inst_6_3_5.txt,6,3,5,15,800.0,1440.0,160.0,Optimal,0.0,15664.0,3.0,0.805
7,inst_7_1_5.txt,7,1,5,15,740.5,1263.0,218.0,Optimal,0.0,5507.0,3.0,0.525
7,inst_7_2_5.txt,7,2,5,15,1022.0,1792.0,252.0,Optimal,0.0,4150.0,3.0,0.336
6,inst_6_2_5.txt,6,2,5,15,608.0,1033.0,183.0,Optimal,0.0,1.0,2.0,0.028
9,inst_9_1_7.txt,9,1,7,15,600.5,891.0,310.0,Optimal,0.0,17852.0,3.0,2.447
20,inst_20_7_15.txt,20,7,15,15,2865.0,5001.0,729.0,TimeLimit,0.11710296684118261,67282308.0,10.0,10800.059
5,inst_5_3_4.txt,5,3,4,15,1064.0,1923.0,205.0,Optimal,0.0,1.0,4.0,0.038
7,inst_7_3_5.txt,7,3,5,15,1045.0,1797.0,293.0,Optimal,0.0,1.0,3.0,0.057
6,inst_6_1_5.txt,6,1,5,15,659.0,1166.0,152.0,Optimal,0.0,3366.0,2.0,9.113
20,inst_20_10_15.txt,20,10,15,15,4027.0,7338.0,716.0,TimeLimit,0.07313136329774025,229752917.0,12.0,10800.032
8,inst_8_3_5.txt,8,3,5,15,1400.5,2520.0,281.0,Optimal,0.0,330703.0,4.0,4.551
10,inst_10_3_7.txt,10,3,7,15,1741.5,3102.0,381.0,Optimal,0.0,5841816.0,5.0,232.537
12,inst_12_2_7.txt,12,2,7,15,1529.5,2688.0,371.0,Optimal,0.0,10314.0,5.0,6.516
30,inst_30_10_20.txt,30,10,20,15,,,,Infeasible,,0.0,,0.144
10,inst_10_2_7.txt,10,2,7,15,1230.0,2098.0,362.0,Optimal,0.0,64358.0,4.0,6.896
30,inst_30_15_20.txt,30,15,20,15,5316.5,9529.0,1104.0,TimeLimit,0.09526944418320289,57736112.0,17.0,10800.031
8,inst_8_2_5.txt,8,2,5,15,1376.5,2510.0,243.0,Optimal,0.0,273074.0,4.0,7.315
