Instance,TruckID,Destination,Cost,Capacity,DockPosition
1,1,1,309,6,5
1,2,1,309,6,1
1,3,1,309,6,4
1,4,1,309,6,5
2,1,1,275,6,4
2,2,1,275,6,3
2,3,1,275,6,3
2,4,1,275,6,4
3,1,1,638,6,1
3,2,1,638,6,2
3,3,1,638,6,2
3,4,1,638,6,5
3,5,1,638,6,1
4,1,1,676,6,5
4,2,1,676,6,3
4,3,1,676,6,1
4,4,1,676,6,1
4,5,1,676,6,1
5,1,1,447,6,4
5,2,1,447,6,4
5,3,1,447,6,1
5,4,1,447,6,1
5,5,1,447,6,2
6,1,1,545,6,2
6,2,1,545,6,4
6,3,1,545,6,5
6,4,1,545,6,1
6,5,1,545,6,4
6,6,1,545,6,1
6,7,1,545,6,2
7,1,1,267,6,1
7,2,1,267,6,5
7,3,1,267,6,4
7,4,1,267,6,5
7,5,1,267,6,2
7,6,1,267,6,5
7,7,1,267,6,3
8,1,1,476,6,4
8,2,1,476,6,4
8,3,1,476,6,2
8,4,1,476,6,3
8,5,1,476,6,4
8,6,1,476,6,3
8,7,1,476,6,4
9,1,1,644,6,5
9,2,1,644,6,3
9,3,1,644,6,1
9,4,1,644,6,4
9,5,1,644,6,1
9,6,1,644,6,5
9,7,1,644,6,2
10,1,1,211,6,4
10,2,1,211,6,5
10,3,1,211,6,5
10,4,2,442,6,2
11,1,1,651,6,5
11,2,1,651,6,5
11,3,1,651,6,5
11,4,2,402,6,1
12,1,1,624,6,1
12,2,1,624,6,1
12,3,2,479,6,4
12,4,2,479,6,4
12,5,2,479,6,2
13,1,2,253,6,2
13,2,1,429,6,5
13,3,1,429,6,1
13,4,2,253,6,1
13,5,1,429,6,5
14,1,2,423,6,5
14,2,1,772,6,2
14,3,2,423,6,2
14,4,1,772,6,4
14,5,1,772,6,2
15,1,1,640,6,4
15,2,1,640,6,1
15,3,2,573,6,5
15,4,2,573,6,5
15,5,1,640,6,5
15,6,2,573,6,4
15,7,2,573,6,4
16,1,1,448,6,4
16,2,1,448,6,1
16,3,2,277,6,4
16,4,1,448,6,2
16,5,1,448,6,4
16,6,1,448,6,4
16,7,1,448,6,5
17,1,2,330,6,2
17,2,1,787,6,4
17,3,1,787,6,5
17,4,2,330,6,4
17,5,2,330,6,1
17,6,1,787,6,5
17,7,2,330,6,1
18,1,1,400,6,2
18,2,2,792,6,3
18,3,2,792,6,5
18,4,2,792,6,5
18,5,2,792,6,1
18,6,1,400,6,5
18,7,1,400,6,3
19,1,3,293,6,1
19,2,1,206,6,3
19,3,2,714,6,4
19,4,1,206,6,3
20,1,3,550,6,3
20,2,3,550,6,4
20,3,1,731,6,3
20,4,3,550,6,4
21,1,1,440,6,4
21,2,3,230,6,4
21,3,3,230,6,4
21,4,1,440,6,5
21,5,1,440,6,3
22,1,1,800,6,3
22,2,3,470,6,4
22,3,1,800,6,1
22,4,1,800,6,3
22,5,1,800,6,1
23,1,3,576,6,2
23,2,3,576,6,1
23,3,2,558,6,1
23,4,3,576,6,4
23,5,1,340,6,2
24,1,3,679,6,1
24,2,1,209,6,4
24,3,3,679,6,5
24,4,2,411,6,3
24,5,3,679,6,2
24,6,2,411,6,2
24,7,2,411,6,3
25,1,1,654,6,5
25,2,2,438,6,2
25,3,1,654,6,4
25,4,2,438,6,4
25,5,3,598,6,5
25,6,1,654,6,4
25,7,3,598,6,5
26,1,3,351,6,1
26,2,3,351,6,4
26,3,2,225,6,4
26,4,1,772,6,2
26,5,1,772,6,4
26,6,1,772,6,3
26,7,2,225,6,3
27,1,1,264,6,4
27,2,1,264,6,2
27,3,1,264,6,1
27,4,1,264,6,1
27,5,2,296,6,2
27,6,1,264,6,3
27,7,2,296,6,4
