Instance,DockID,Position
1,1,1
1,2,3
1,3,2
1,4,5
1,5,4
2,1,4
2,2,5
2,3,2
2,4,1
2,5,3
3,1,1
3,2,7
3,3,4
3,4,2
3,5,6
3,6,5
3,7,3
4,1,2
4,2,1
4,3,3
5,1,4
5,2,2
5,3,1
5,4,3
6,1,1
6,2,3
6,3,2
7,1,2
7,2,3
7,3,1
7,4,4
8,1,3
8,2,4
8,3,1
8,4,2
9,1,5
9,2,1
9,3,4
9,4,2
9,5,3
10,1,2
10,2,1
10,3,3
11,1,3
11,2,4
11,3,1
11,4,2
12,1,4
12,2,3
12,3,1
12,4,2
13,1,2
13,2,4
13,3,1
13,4,3
14,1,5
14,2,3
14,3,4
14,4,2
14,5,6
14,6,1
15,1,1
15,2,2
15,3,3
16,1,2
16,2,5
16,3,3
16,4,4
16,5,1
17,1,3
17,2,2
17,3,6
17,4,7
17,5,4
17,6,1
17,7,5
18,1,3
18,2,2
18,3,1
18,4,4
18,5,5
19,1,6
19,2,3
19,3,1
19,4,2
19,5,4
19,6,5
20,1,6
20,2,2
20,3,7
20,4,4
20,5,5
20,6,3
20,7,1
21,1,2
21,2,4
21,3,1
21,4,3
22,1,1
22,2,2
22,3,3
22,4,5
22,5,6
22,6,4
23,1,3
23,2,6
23,3,4
23,4,1
23,5,2
23,6,5
24,1,1
24,2,2
24,3,4
24,4,5
24,5,3
25,1,6
25,2,2
25,3,5
25,4,3
25,5,1
25,6,4
26,1,4
26,2,1
26,3,3
26,4,2
27,1,4
27,2,3
27,3,2
27,4,1
28,1,3
28,2,1
28,3,2
29,1,5
29,2,2
29,3,1
29,4,4
29,5,3
30,1,3
30,2,1
30,3,2
