Instance,TruckID,Destination,Cost,Capacity,DockPosition,added
1,1,2,705,6,1,False
1,2,1,608,6,2,False
1,3,2,705,6,2,False
1,4,1,608,6,1,False
1,5,1,608,6,1,False
1,6,1,608,6,2,False
1,7,1,608,6,3,False
1,8,2,705,6,1,False
1,9,2,705,6,4,False
1,10,1,608,6,1,False
2,1,2,751,6,5,False
2,2,2,751,6,1,False
2,3,1,770,6,1,False
2,4,1,770,6,4,False
2,5,2,751,6,1,False
2,6,2,751,6,2,False
2,7,1,770,6,3,False
2,8,3,766,6,2,False
2,9,2,751,6,4,False
2,T_extra_3_2848,3,766,6,3,True
2,T_extra_3_1470,3,766,6,5,True
3,1,1,232,6,2,False
3,2,3,399,6,5,False
3,3,3,399,6,2,False
3,4,2,445,6,7,False
3,5,3,399,6,4,False
3,6,3,399,6,2,False
3,T_extra_1_3583,1,232,6,4,True
4,1,1,337,6,1,False
4,2,2,412,6,2,False
4,3,3,637,6,3,False
4,4,2,412,6,3,False
4,5,5,662,6,3,False
4,6,2,412,6,2,False
4,7,1,337,6,2,False
4,8,1,337,6,2,False
4,9,3,637,6,2,False
4,T_new_4,4,111,6,1,True
5,1,2,788,6,4,False
5,2,2,788,6,2,False
5,3,1,386,6,3,False
5,4,1,386,6,4,False
5,5,1,386,6,4,False
5,6,2,788,6,1,False
5,7,2,788,6,1,False
5,8,1,386,6,2,False
6,1,2,737,6,3,False
6,2,3,394,6,6,False
6,3,1,640,6,5,False
6,4,2,737,6,4,False
6,5,3,394,6,1,False
6,6,2,737,6,3,False
6,7,3,394,6,1,False
6,8,3,394,6,5,False
6,9,3,394,6,1,False
6,10,1,640,6,1,False
7,1,2,507,6,5,False
7,2,2,507,6,6,False
7,3,2,507,6,5,False
7,4,2,507,6,7,False
7,5,1,722,6,3,False
7,T_extra_1_7353,1,722,6,6,True
7,T_extra_1_4409,1,722,6,6,True
7,T_extra_1_6661,1,722,6,5,True
8,1,2,351,6,3,False
8,2,2,351,6,4,False
8,3,2,351,6,3,False
8,4,2,351,6,3,False
8,5,1,391,6,1,False
8,6,2,351,6,1,False
8,7,2,351,6,4,False
8,8,2,351,6,1,False
8,9,2,351,6,2,False
8,10,2,351,6,4,False
9,1,1,264,6,2,False
9,2,1,264,6,1,False
9,3,1,264,6,2,False
9,4,1,264,6,1,False
9,5,1,264,6,1,False
9,6,3,200,6,2,False
9,7,3,200,6,3,False
9,8,2,504,6,3,False
9,9,1,264,6,1,False
9,T_extra_2_5320,2,504,6,1,True
10,1,3,393,6,1,False
10,2,5,367,6,2,False
10,3,5,367,6,4,False
10,4,3,393,6,1,False
10,5,3,393,6,3,False
10,6,4,466,6,3,False
10,7,4,466,6,2,False
10,8,2,269,6,1,False
10,9,2,269,6,1,False
10,T_new_1,1,111,6,2,True
11,1,2,463,6,4,False
11,2,2,463,6,3,False
11,3,1,470,6,4,False
11,4,2,463,6,3,False
11,5,3,272,6,1,False
11,6,1,470,6,4,False
11,T_extra_3_4717,3,272,6,4,True
12,1,3,233,6,4,False
12,2,2,591,6,3,False
12,3,2,591,6,2,False
12,4,4,351,6,2,False
12,5,4,351,6,1,False
12,T_extra_3_5879,3,233,6,1,True
12,T_extra_4_3519,4,351,6,3,True
13,1,2,367,6,3,False
13,2,2,367,6,3,False
13,3,1,778,6,4,False
13,4,1,778,6,3,False
13,5,1,778,6,3,False
13,6,1,778,6,1,False
13,7,2,367,6,1,False
14,1,1,401,6,4,False
14,2,3,314,6,6,False
14,3,2,667,6,1,False
14,4,4,379,6,5,False
14,5,2,667,6,6,False
14,6,4,379,6,3,False
14,T_extra_3_8369,3,314,6,5,True
15,1,2,623,6,3,False
15,2,1,619,6,3,False
15,3,2,623,6,3,False
15,4,1,619,6,3,False
15,5,1,619,6,2,False
