Instance,ContainerID,Length,Position,Destination
1,1,5,25,2
1,2,4,7,1
1,3,5,29,2
1,4,4,28,2
2,1,2,46,1
2,2,5,24,2
2,3,3,55,3
2,4,5,6,3
2,5,5,70,3
2,6,5,24,3
2,7,4,57,1
2,8,5,17,1
3,1,4,28,3
3,2,1,16,3
3,3,4,60,2
3,4,1,63,1
3,5,2,29,3
3,6,1,6,1
3,7,1,17,3
3,8,5,38,1
3,9,4,75,3
3,10,4,30,3
3,11,5,32,1
3,12,3,26,3
3,13,2,66,2
4,1,1,26,2
4,2,4,43,1
4,3,2,3,2
4,4,1,19,1
4,5,1,43,3
4,6,1,26,5
4,7,3,51,3
4,8,5,22,3
4,9,4,6,4
4,10,4,69,2
4,11,3,24,5
5,1,5,45,1
5,2,1,40,3
5,3,3,21,3
5,4,2,19,1
5,5,4,45,2
5,6,4,50,4
5,7,4,30,2
5,8,5,40,3
5,9,1,42,1
5,10,3,24,4
