Instance,file name,BestFitness,truck cost,energy cost,ExecutionTime(s),PopulationSize,Generations
10,inst_10_1_7.txt,966.5,1588,345.0,0.606,10,20
10,inst_10_2_7.txt,1237.5,2098,377.0,0.584,10,20
10,inst_10_3_7.txt,1760.5,3102,419.0,1.332,10,20
11,inst_11_1_7.txt,797.5,1276,319.0,0.643,10,20
11,inst_11_2_7.txt,1129.0,1876,382.0,0.647,10,20
11,inst_11_3_7.txt,1222.0,2042,402.0,0.672,10,20
12,inst_12_1_7.txt,1223.5,2035,412.0,0.669,10,20
12,inst_12_2_7.txt,1566.5,2688,445.0,0.727,10,20
12,inst_12_3_7.txt,2072.5,3699,446.0,0.804,10,20
20,inst_20_10_15.txt,4026.0,7338,714.0,1.317,10,20
20,inst_20_7_15.txt,2880.5,5001,760.0,1.281,10,20
30,inst_30_10_20.txt,3816.5,6401,1232.0,1.859,10,20
30,inst_30_15_20.txt,5316.5,9529,1104.0,1.997,10,20
30,inst_30_7_20.txt,3169.0,5081,1257.0,1.813,10,20
4,inst_4_1_4.txt,243.5,351,136.0,0.277,10,20
4,inst_4_2_4.txt,616.0,1096,136.0,0.541,10,20
4,inst_4_3_4.txt,825.0,1542,108.0,0.372,10,20
5,inst_5_1_4.txt,474.5,750,199.0,0.341,10,20
5,inst_5_2_4.txt,1009.0,1835,183.0,0.332,10,20
5,inst_5_3_4.txt,1085.0,1923,247.0,0.636,10,20
6,inst_6_1_5.txt,673.0,1166,180.0,0.449,10,20
6,inst_6_2_5.txt,612.5,1033,192.0,0.433,10,20
6,inst_6_3_5.txt,800.0,1440,160.0,0.428,10,20
7,inst_7_1_5.txt,741.5,1263,220.0,0.44,10,20
7,inst_7_2_5.txt,1022.5,1792,253.0,0.506,10,20
7,inst_7_3_5.txt,1046.5,1797,296.0,0.452,10,20
8,inst_8_1_5.txt,1043.0,1821,265.0,0.499,10,20
8,inst_8_2_5.txt,1385.0,2510,260.0,0.474,10,20
8,inst_8_3_5.txt,1595.5,2901,290.0,0.82,10,20
9,inst_9_1_7.txt,600.5,891,310.0,0.57,10,20
9,inst_9_2_7.txt,999.0,1650,348.0,0.567,10,20
9,inst_9_3_7.txt,1340.5,2331,350.0,0.562,10,20
