Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations,best_chromosome
1,1441.0,4.508,50,20,"[[1], 0, 5, 0, [2], 0, 5, 0, [3], 0, 5, 0, [], 0, 1, 0, [], 0, 1, 0, [], 0, 3, 0, [], 0, 2, 0, [4], 0, 5, 0, [], 0, 4, 0, [], 0, 1, 0]"
2,2836.5,5.656,50,20,"[[2], 0, 5, 0, [2], 0, 5, 0, [8], 0, 5, 0, [7, 1], 0, 5, 0, [6], 0, 4, 0, [2], 0, 5, 0, [], 0, 2, 0, [4], 0, 5, 0, [], 0, 3, 0]"
3,719.0,4.735,50,20,"[[], 0, 7, 0, [2], 0, 6, 0, [4], 0, 7, 0, [], 0, 7, 0, [], 0, 3, 0, [5, 1], 0, 7, 0, [], 0, 6, 0, [3], 0, 7, 0, [], 0, 4, 0, [], 0, 2, 0]"
4,1568.0,5.759,50,20,"[[1, 9], 0, 3, 0, [2, 8], 0, 3, 0, [3, 4, 10], 0, 2, 0, [], 0, 1, 0, [5, 7, 11], 0, 3, 0, [6], 0, 3, 0, [], 0, 1, 0]"
5,3647.5,9.448,50,20,"[[2, 3], 0, 3, 0, [9, 7], 0, 4, 0, [4], 0, 4, 0, [11], 0, 4, 0, [10], 0, 4, 0, [5, 6], 0, 4, 0, [1], 0, 4, 0, [13], 0, 4, 0, [8, 12], 0, 3, 0, [], 0, 1, 0]"
6,2039.0,7.26,50,20,"[[8, 3], 0, 2, 0, [1], 0, 3, 0, [2], 0, 5, 0, [9, 8], 0, 5, 0, [], 0, 2, 0, [6, 4], 0, 5, 0, [5], 0, 5, 0, [], 0, 4, 0, [], 0, 3, 0]"
7,2638.0,8.472,50,20,"[[9, 13], 0, 3, 0, [], 0, 3, 0, [13, 3], 0, 3, 0, [12], 0, 2, 0, [2], 0, 3, 0, [6, 1], 0, 3, 0, [5, 8], 0, 3, 0, [9, 10], 0, 3, 0, [11, 4], 0, 2, 0]"
8,1810.5,8.447,50,20,"[[], 0, 1, 0, [5], 0, 4, 0, [4, 7], 0, 5, 0, [2, 3], 0, 5, 0, [10], 0, 4, 0, [6], 0, 5, 0, [], 0, 1, 0, [9], 0, 5, 0, [], 0, 5, 0, [1, 11], 0, 5, 0]"
9,1482.0,5.796,50,20,"[[5], 0, 4, 0, [5], 0, 4, 0, [9, 4], 0, 4, 0, [1], 0, 4, 0, [2], 0, 3, 0, [5], 0, 4, 0]"
10,1105.0,6.878,50,20,"[[10], 0, 6, 0, [2], 0, 5, 0, [3], 0, 3, 0, [7, 4], 0, 7, 0, [9], 0, 7, 0]"
