Instance,Objective,Status,UsedTrucks,ExecutionTime(s)
1,1440.0,Optimal,4.0,0.048
2,2892.5,Optimal,7.0,0.059
3,721.0,Optimal,4.0,0.066
4,1558.5,Optimal,5.0,1.681
5,,3,,0.139
6,2351.5,Optimal,7.0,70.272
7,,3,,0.038
8,1879.5,Optimal,7.0,533.838
9,,3,,0.006
10,,3,,0.006
11,1304.0,Optimal,4.0,0.154
12,,3,,0.01
13,,3,,0.005
14,1376.0,Optimal,6.0,15.55
15,1342.5,Optimal,4.0,0.023
16,589.5,Optimal,4.0,0.062
17,745.0,Optimal,2.0,0.024
18,2541.0,Optimal,10.0,3050.662
19,,3,,0.013
20,3331.0,Optimal,10.0,6088.69
21,1693.5,Optimal,5.0,0.258
22,832.0,Optimal,4.0,0.039
23,1073.5,Optimal,5.0,3.152
24,,3,,0.007
25,,3,,0.008
26,,3,,0.015
27,1367.5,Optimal,4.0,13.991
28,1058.0,Optimal,3.0,0.119
29,,3,,0.013
30,,3,,0.018
