Instance,Objective,Status,UsedTrucks,ExecutionTime(s)
1,1439.0,Optimal,4.0,0.144
2,2888.0,Optimal,7.0,0.054
3,721.0,Optimal,4.0,0.065
4,1555.5,Optimal,5.0,1.767
5,3643.5,Optimal,9.0,636.9
6,2347.5,Optimal,7.0,128.696
7,2582.0,Optimal,7.0,0.403
8,1874.0,Optimal,7.0,32.673
9,,3,,0.007
10,,3,,0.006
11,1304.0,Optimal,4.0,0.15
12,,3,,0.011
13,,3,,0.005
14,1375.0,Optimal,6.0,12.109
15,1340.5,Optimal,4.0,0.029
16,588.5,Optimal,4.0,0.065
17,745.0,Optimal,2.0,0.023
18,2533.0,Optimal,10.0,9.709
19,,3,,0.012
20,3325.0,Optimal,10.0,77.489
21,1691.0,Optimal,5.0,0.106
22,831.0,Optimal,4.0,0.031
23,1070.0,Optimal,5.0,0.163
24,,3,,0.005
25,,3,,0.007
26,,3,,0.012
27,1367.0,Optimal,4.0,9.834
28,1056.5,Optimal,3.0,0.147
29,,3,,0.012
30,1306.0,Optimal,8.0,0.079
