Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations
1,2762.5,0.278,10,20
2,10207.75,0.328,10,20
3,20892.75,0.252,10,20
4,1538.25,0.318,10,20
5,6253.5,0.378,10,20
6,11961.25,0.27,10,20
7,3315.0,0.263,10,20
8,6676.0,0.346,10,20
9,6407.5,0.189,10,20
10,3446.75,0.507,10,20
11,1582.75,0.281,10,20
12,7253.75,0.209,10,20
13,3201.75,0.347,10,20
14,4867.75,0.362,10,20
15,4429.25,0.2,10,20
16,983.25,0.285,10,20
17,1359.0,0.164,10,20
18,11499.5,0.447,10,20
19,4800.25,0.338,10,20
20,11801.25,0.435,10,20
21,4995.5,0.293,10,20
22,1556.5,0.179,10,20
23,1947.75,0.344,10,20
24,5104.25,0.146,10,20
25,13974.5,0.291,10,20
26,4554.25,0.453,10,20
27,7868.0,0.254,10,20
28,21218.75,0.303,10,20
29,5149.0,0.324,10,20
30,4039.5,0.256,10,20
