Instance,file name,BestFitness,truck cost,energy cost,ExecutionTime(s),PopulationSize,Generations
10,inst_10_1_7.txt,966.5,1588,345.0,0.604,10,20
10,inst_10_2_7.txt,1237.5,2098,377.0,0.62,10,20
10,inst_10_3_7.txt,1748.0,3102,394.0,0.874,10,20
11,inst_11_1_7.txt,797.5,1276,319.0,0.675,10,20
11,inst_11_2_7.txt,1129.0,1876,382.0,0.689,10,20
11,inst_11_3_7.txt,1222.0,2042,402.0,0.677,10,20
12,inst_12_1_7.txt,1223.5,2035,412.0,0.685,10,20
12,inst_12_2_7.txt,1566.5,2688,445.0,0.657,10,20
12,inst_12_3_7.txt,2098.0,3693,503.0,1.502,10,20
20,inst_20_10_15.txt,4027.0,7338,716.0,1.194,10,20
20,inst_20_7_15.txt,2880.5,5001,760.0,1.188,10,20
30,inst_30_10_20.txt,3810.0,6401,1219.0,1.82,10,20
30,inst_30_15_20.txt,6161.0,10657,1665.0,6.334,10,20
30,inst_30_7_20.txt,3169.0,5081,1257.0,1.867,10,20
4,inst_4_1_4.txt,243.5,351,136.0,0.281,10,20
4,inst_4_2_4.txt,616.0,1096,136.0,0.298,10,20
4,inst_4_3_4.txt,825.0,1542,108.0,0.372,10,20
5,inst_5_1_4.txt,474.5,750,199.0,0.317,10,20
5,inst_5_2_4.txt,1009.0,1835,183.0,0.554,10,20
5,inst_5_3_4.txt,1099.5,1923,276.0,0.615,10,20
6,inst_6_1_5.txt,673.0,1166,180.0,0.367,10,20
6,inst_6_2_5.txt,612.5,1033,192.0,0.37,10,20
6,inst_6_3_5.txt,800.0,1440,160.0,0.38,10,20
7,inst_7_1_5.txt,741.5,1263,220.0,0.422,10,20
7,inst_7_2_5.txt,1022.5,1792,253.0,0.436,10,20
7,inst_7_3_5.txt,1046.5,1797,296.0,0.42,10,20
8,inst_8_1_5.txt,1048.0,1821,275.0,0.47,10,20
8,inst_8_2_5.txt,1398.5,2510,287.0,1.001,10,20
8,inst_8_3_5.txt,1434.0,2520,348.0,0.703,10,20
9,inst_9_1_7.txt,600.5,891,310.0,0.563,10,20
9,inst_9_2_7.txt,999.0,1650,348.0,0.561,10,20
9,inst_9_3_7.txt,1340.5,2331,350.0,0.518,10,20
