Instance,file name,BestFitness,truck cost,energy cost,ExecutionTime(s),PopulationSize,Generations
10,inst_10_1_7.txt,966.5,1588,345.0,81.779,50,100
10,inst_10_2_7.txt,1237.5,2098,377.0,83.583,50,100
10,inst_10_3_7.txt,1748.0,3102,394.0,75.481,50,100
11,inst_11_1_7.txt,797.5,1276,319.0,77.372,50,100
11,inst_11_2_7.txt,1129.0,1876,382.0,73.773,50,100
11,inst_11_3_7.txt,1221.5,2042,401.0,73.379,50,100
12,inst_12_1_7.txt,1223.5,2035,412.0,1240.29,50,100
12,inst_12_2_7.txt,1566.5,2688,445.0,68.265,50,100
12,inst_12_3_7.txt,2497.0,4387,607.0,69.433,50,100
20,inst_20_10_15.txt,5332.5,9595,1070.0,130.171,50,100
20,inst_20_7_15.txt,2880.5,5001,760.0,124.687,50,100
30,inst_30_10_20.txt,3805.0,6401,1209.0,179.821,50,100
30,inst_30_15_20.txt,5316.5,9529,1104.0,191.094,50,100
30,inst_30_7_20.txt,3165.5,5081,1250.0,180.866,50,100
4,inst_4_1_4.txt,243.5,351,136.0,27.573,50,100
4,inst_4_2_4.txt,616.0,1096,136.0,27.568,50,100
4,inst_4_3_4.txt,825.0,1542,108.0,25.658,50,100
5,inst_5_1_4.txt,474.5,750,199.0,31.745,50,100
5,inst_5_2_4.txt,1009.0,1835,183.0,33.07,50,100
5,inst_5_3_4.txt,1074.5,1923,226.0,42.239,50,100
6,inst_6_1_5.txt,673.0,1166,180.0,37.29,50,100
6,inst_6_2_5.txt,612.5,1033,192.0,38.712,50,100
6,inst_6_3_5.txt,868.0,1440,296.0,40.269,50,100
7,inst_7_1_5.txt,741.5,1263,220.0,42.355,50,100
7,inst_7_2_5.txt,1022.5,1792,253.0,43.727,50,100
7,inst_7_3_5.txt,1046.5,1797,296.0,45.342,50,100
8,inst_8_1_5.txt,1043.5,1821,266.0,55.504,50,100
8,inst_8_2_5.txt,1393.0,2510,276.0,51.726,50,100
8,inst_8_3_5.txt,1424.5,2520,329.0,49.594,50,100
9,inst_9_1_7.txt,600.5,891,310.0,59.49,50,100
9,inst_9_2_7.txt,997.0,1650,344.0,59.583,50,100
9,inst_9_3_7.txt,1340.5,2331,350.0,60.085,50,100
