Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations,best_chromosome
10,966.5,0.622,10,20,"[[1, 2, 3, 7], 0, 18, 0, [5, 4], 0, 23, 0, [6, 8], 0, 48, 0, [9, 10], 0, 73, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
10,1237.5,0.572,10,20,"[[1, 3, 4, 7], 0, 23, 0, [10], 0, 73, 0, [2, 5, 9], 0, 33, 0, [6, 8], 0, 48, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
10,1748.0,0.612,10,20,"[[2, 5, 9], 0, 33, 0, [1, 3, 7], 0, 23, 0, [10], 0, 73, 0, [4], 0, 18, 0, [6, 8], 0, 48, 0, [], 0, 3, 0, [], 0, 3, 0]"
11,797.5,0.705,10,20,"[[1, 2, 4], 0, 13, 0, [3, 5, 6], 0, 28, 0, [7, 8, 9], 0, 48, 0, [10, 11], 0, 68, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
11,1129.0,0.676,10,20,"[[1, 3], 0, 13, 0, [5, 6, 9], 0, 43, 0, [11], 0, 73, 0, [2, 4, 7, 8, 10], 0, 38, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
11,1222.0,0.659,10,20,"[[1], 0, 13, 0, [5, 7], 0, 38, 0, [3, 6, 9], 0, 38, 0, [11], 0, 73, 0, [2, 4, 8, 10], 0, 38, 0, [], 0, 3, 0, [], 0, 3, 0]"
12,1223.5,0.687,10,20,"[[1, 2, 3, 5], 0, 13, 0, [4, 6, 8], 0, 33, 0, [7, 10], 0, 53, 0, [9, 11], 0, 58, 0, [12], 0, 73, 0, [], 0, 3, 0, [], 0, 3, 0]"
12,1566.5,0.69,10,20,"[[1, 3, 4, 10], 0, 23, 0, [8], 0, 48, 0, [2, 5, 6, 11], 0, 33, 0, [7], 0, 43, 0, [9, 12], 0, 63, 0, [], 0, 3, 0, [], 0, 3, 0]"
12,2072.5,0.679,10,20,"[[3, 5, 8], 0, 28, 0, [9, 11], 0, 58, 0, [1, 4, 6, 10], 0, 28, 0, [2], 0, 8, 0, [7], 0, 43, 0, [12], 0, 73, 0, [], 0, 3, 0]"
20,4027.0,1.228,10,20,"[[7, 17], 0, 43, 0, [11], 0, 13, 0, [19], 0, 68, 0, [1, 6], 0, 18, 0, [3, 14], 0, 18, 0, [16], 0, 43, 0, [20], 0, 73, 0, [5, 18], 0, 43, 0, [8, 13], 0, 33, 0, [2, 10], 0, 38, 0, [4, 12], 0, 23, 0, [9, 15], 0, 43, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
20,2880.5,1.193,10,20,"[[8, 18], 0, 48, 0, [1, 16], 0, 23, 0, [3, 9, 14], 0, 33, 0, [4, 12], 0, 23, 0, [20], 0, 73, 0, [2, 7, 13], 0, 23, 0, [17], 0, 48, 0, [6, 19], 0, 53, 0, [11, 15], 0, 23, 0, [5, 10], 0, 53, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
30,3816.5,1.721,10,20,"[[3, 12], 0, 33, 0, [10, 26], 0, 58, 0, [11, 17, 21], 0, 28, 0, [1, 7, 18], 0, 18, 0, [25, 27], 0, 58, 0, [2, 15], 0, 38, 0, [9, 13, 22], 0, 48, 0, [5, 24], 0, 33, 0, [19], 0, 13, 0, [6, 29], 0, 48, 0, [8, 14, 20], 0, 43, 0, [23, 30], 0, 58, 0, [4, 16, 28], 0, 28, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
30,5316.5,1.839,10,20,"[[4, 11], 0, 38, 0, [1, 22], 0, 18, 0, [5, 30], 0, 48, 0, [12, 26], 0, 58, 0, [2, 9], 0, 23, 0, [13, 21], 0, 43, 0, [7, 29], 0, 53, 0, [8, 27], 0, 53, 0, [3, 17], 0, 8, 0, [15, 28], 0, 73, 0, [18, 24], 0, 28, 0, [6, 14], 0, 48, 0, [10], 0, 58, 0, [25], 0, 58, 0, [20], 0, 23, 0, [23], 0, 43, 0, [16, 19], 0, 8, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
30,3169.0,1.954,10,20,"[[1, 11, 21], 0, 28, 0, [4, 9, 16, 26], 0, 28, 0, [22, 30], 0, 53, 0, [2, 14], 0, 38, 0, [3, 7, 17], 0, 18, 0, [10], 0, 58, 0, [23], 0, 43, 0, [28], 0, 68, 0, [6, 13, 20], 0, 38, 0, [25, 29], 0, 63, 0, [8, 15, 18, 24], 0, 43, 0, [5, 12], 0, 43, 0, [19, 27], 0, 38, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
4,243.5,0.284,10,20,"[[1, 2, 3, 4], 0, 33, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
4,616.0,0.302,10,20,"[[2, 4], 0, 38, 0, [1, 3], 0, 28, 0, [], 0, 3, 0, [], 0, 3, 0]"
4,850.0,0.405,10,20,"[[4, 2], 0, 38, 0, [1], 0, 63, 0, [3], 0, 43, 0, [], 0, 3, 0]"
5,474.5,0.365,10,20,"[[1, 2], 0, 18, 0, [3, 4, 5], 0, 53, 0, [], 0, 3, 0, [], 0, 3, 0]"
5,1009.0,0.32,10,20,"[[1, 4], 0, 33, 0, [2, 3], 0, 28, 0, [5], 0, 73, 0, [], 0, 3, 0]"
5,1064.0,0.434,10,20,"[[1, 5], 0, 15, 0, [3], 0, 28, 0, [2], 0, 28, 0, [4], 0, 53, 0]"
6,673.0,0.414,10,20,"[[1, 2, 3, 4, 6], 0, 38, 0, [5], 0, 58, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
6,612.5,0.397,10,20,"[[1, 4, 6], 0, 43, 0, [2, 3, 5], 0, 43, 0, [], 0, 3, 0, [], 0, 3, 0, [], 0, 3, 0]"
6,800.0,0.396,10,20,"[[1, 4], 0, 28, 0, [5, 6], 0, 58, 0, [2, 3], 0, 38, 0, [], 0, 3, 0, [], 0, 3, 0]"
7,741.5,0.448,10,20,"[[1, 2, 3, 4], 0, 23, 0, [5, 6], 0, 58, 0, [7], 0, 73, 0, [], 0, 3, 0, [], 0, 3, 0]"
