Instance,BestFitness,ExecutionTime(s),PopulationSize,Generations,best_chromosome
1,1443.0,0.384,10,20,"[[3], 0, 4, 0, [2], 0, 3, 0, [1], 0, 4, 0, [], 0, 1, 0, [], 0, 2, 0, [], 0, 2, 0, [], 0, 2, 0, [4], 0, 5, 0, [], 0, 5, 0, [], 0, 1, 0]"
2,2481.5,0.38,10,20,"[[2], 0, 1, 0, [3], 0, 3, 0, [8], 0, 2, 0, [1, 7], 0, 5, 0, [5], 0, 4, 0, [6], 0, 4, 0, [], 0, 5, 0, [4], 0, 2, 0, [], 0, 1, 0]"
3,1492.5,0.259,10,20,"[[], 0, 1, 0, [], 0, 3, 0, [4], 0, 2, 0, [2], 0, 5, 0, [], 0, 4, 0, [], 0, 4, 0, [], 0, 5, 0, [1, 5], 0, 2, 0, [3], 0, 1, 0, [], 0, 3, 0]"
4,1863.5,0.346,10,20,"[[1, 9], 0, 1, 0, [5, 7, 11], 0, 40, 0, [10, 4, 3], 0, 2, 0, [], 0, 5, 0, [6], 0, 4, 0, [], 0, 4, 0, [2, 8], 0, 5, 0]"
5,3612.0,0.539,10,20,"[[2, 3], 0, 1, 0, [1], 0, 3, 0, [13], 0, 2, 0, [11], 0, 5, 0, [8, 9], 0, 4, 0, [12], 0, 4, 0, [10], 0, 5, 0, [4], 0, 2, 0, [7], 0, 1, 0, [5, 6], 0, 3, 0]"
6,3231.0,0.497,10,20,"[[4, 6], 0, 1, 0, [1], 0, 3, 0, [2], 0, 2, 0, [8, 9], 0, 5, 0, [5], 0, 4, 0, [11], 0, 4, 0, [10], 0, 5, 0, [3], 0, 2, 0, [7], 0, 1, 0]"
7,3006.0,0.422,10,20,"[[1, 12], 0, 1, 0, [8], 0, 3, 0, [9, 10, 13], 0, 2, 0, [11], 0, 5, 0, [], 0, 4, 0, [7], 0, 4, 0, [2, 6], 0, 5, 0, [3], 0, 2, 0, [4, 5], 0, 1, 0]"
8,2515.0,0.383,10,20,"[[2, 3], 0, 1, 0, [10], 0, 3, 0, [9], 0, 20, 0, [5, 8], 0, 5, 0, [1, 7], 0, 5, 0, [4], 0, 4, 0, [], 0, 30, 0, [], 0, 2, 0, [], 0, 1, 0, [11, 6], 0, 3, 0]"
9,2092.5,0.527,10,20,"[[5, 9], 0, 1, 0, [2], 0, 3, 0, [1], 0, 2, 0, [3], 0, 5, 0, [8], 0, 4, 0, [4], 0, 4, 0]"
10,1769.5,0.607,10,20,"[[6], 0, 1, 0, [2, 5], 0, 3, 0, [1], 0, 2, 0, [4], 0, 5, 0, [3], 0, 4, 0]"
11,2110.5,0.292,10,20,"[[3], 0, 1, 0, [2], 0, 3, 0, [1, 6], 0, 2, 0, [4], 0, 5, 0, [5], 0, 4, 0, [7], 0, 4, 0]"
12,2395.5,0.545,10,20,"[[8], 0, 1, 0, [1], 0, 3, 0, [2], 0, 2, 0, [6], 0, 5, 0, [3], 0, 4, 0, [5], 0, 4, 0, [4], 0, 5, 0]"
13,1442.5,0.313,10,20,"[[5], 0, 1, 0, [], 0, 3, 0, [4], 0, 1, 0, [], 0, 2, 0, [1, 3], 0, 5, 0, [2], 0, 3, 0, [], 0, 5, 0]"
14,2487.5,0.401,10,20,"[[7, 9], 0, 1, 0, [4, 8], 0, 3, 0, [10], 0, 2, 0, [2], 0, 5, 0, [1, 6], 0, 4, 0, [3], 0, 4, 0, [5], 0, 5, 0, [], 0, 2, 0]"
15,1466.0,0.226,10,20,"[[4], 0, 1, 0, [3, 5], 0, 3, 0, [2], 0, 2, 0, [], 0, 5, 0, [1, 6], 0, 4, 0]"
