Instance,BestFitness_random,ExecutionTime(s)_random,PopulationSize_random,Generations_random
1,1441.0,6.224,50,20
2,2029.0,18.94,50,20
3,485.0,16.681,50,20
4,1377.0,17.661,50,20
5,3912.0,21.284,50,20
6,2641.5,14.248,50,20
7,2362.5,20.991,50,20
8,1492.0,24.024,50,20
9,1521.0,11.207,50,20
10,1119.5,10.27,50,20
11,1038.0,11.918,50,20
12,1601.0,13.503,50,20
13,1392.0,9.001,50,20
14,1333.5,16.509,50,20
15,1307.5,9.07,50,20
16,699.0,15.142,50,20
17,1085.5,11.006,50,20
18,2105.0,23.358,50,20
19,1066.5,24.821,50,20
20,3101.5,30.138,50,20
21,1564.5,16.958,50,20
22,832.0,19.566,50,20
23,1074.5,22.378,50,20
24,256.0,8.967,50,20
25,1549.5,11.317,50,20
26,1513.5,6.896,50,20
27,1628.0,8.186,50,20
28,1627.0,6.503,50,20
29,2260.0,10.857,50,20
30,1308.0,12.754,50,20
