Instance,TruckID,Destination,Cost,Capacity,DockPosition
1,1,1,608,6,4
1,2,1,608,6,4
1,3,1,608,6,2
1,4,1,608,6,3
1,5,1,608,6,2
1,6,1,608,6,2
2,1,2,751,6,4
2,2,2,751,6,5
2,3,1,770,6,5
2,4,1,770,6,6
2,5,2,751,6,2
2,6,2,751,6,5
2,7,1,770,6,5
3,1,3,399,6,4
3,2,4,294,6,6
3,3,2,445,6,2
3,4,4,294,6,4
4,1,4,714,6,6
4,2,1,337,6,2
4,3,2,412,6,6
4,4,3,637,6,2
5,1,2,788,6,6
5,2,2,788,6,5
5,3,1,386,6,5
5,4,1,386,6,5
5,5,1,386,6,6
6,1,2,737,6,3
6,2,4,484,6,3
6,3,4,484,6,2
6,4,1,640,6,3
6,5,1,640,6,6
6,6,3,394,6,6
7,1,1,722,6,3
7,2,1,722,6,3
7,3,1,722,6,5
7,4,1,722,6,2
7,5,1,722,6,6
7,6,1,722,6,6
7,7,1,722,6,4
7,8,1,722,6,2
8,1,2,351,6,4
8,2,2,351,6,4
8,3,3,608,6,2
8,4,2,351,6,5
8,5,1,391,6,2
9,1,2,504,6,6
9,2,2,504,6,4
9,3,2,504,6,6
9,4,2,504,6,5
9,5,4,336,6,2
9,6,1,264,6,6
9,7,2,504,6,6
10,1,3,393,6,5
10,2,2,269,6,6
10,3,1,764,6,6
10,4,2,269,6,5
11,1,2,463,6,4
11,2,2,463,6,3
11,3,1,470,6,3
11,4,2,463,6,4
11,5,3,272,6,5
11,6,1,470,6,2
11,7,3,272,6,3
12,1,3,233,6,2
12,2,2,591,6,2
12,3,2,591,6,2
12,4,4,351,6,4
12,5,4,351,6,4
12,6,1,348,6,6
13,1,2,367,6,5
13,2,1,778,6,3
13,3,1,778,6,3
13,4,1,778,6,3
13,5,1,778,6,5
14,1,1,401,6,6
14,2,1,401,6,6
14,3,3,314,6,4
14,4,3,314,6,3
15,1,1,619,6,6
15,2,2,623,6,2
15,3,3,543,6,6
15,4,3,543,6,6
15,5,1,619,6,4
15,6,1,619,6,4
15,7,1,619,6,2
16,1,1,227,6,3
16,2,1,227,6,6
16,3,1,227,6,3
16,4,2,213,6,3
16,5,1,227,6,3
16,6,2,213,6,6
17,1,1,673,6,3
17,2,1,673,6,3
17,3,1,673,6,4
17,4,1,673,6,2
17,5,1,673,6,4
17,6,1,673,6,4
17,7,1,673,6,4
17,8,1,673,6,3
18,1,2,664,6,4
18,2,1,248,6,2
18,3,3,610,6,3
18,4,3,610,6,5
18,5,2,664,6,3
18,6,2,664,6,3
19,1,1,382,6,3
19,2,2,241,6,5
19,3,3,750,6,5
19,4,1,382,6,4
19,5,3,750,6,2
20,1,1,656,6,3
20,2,2,722,6,4
20,3,2,722,6,3
20,4,1,656,6,6
20,5,2,722,6,5
20,6,2,722,6,3
20,7,1,656,6,5
20,8,2,722,6,4
21,1,1,482,6,2
21,2,2,600,6,3
21,3,2,600,6,3
21,4,2,600,6,3
21,5,1,482,6,5
21,6,2,600,6,2
21,7,2,600,6,3
22,1,3,265,6,3
22,2,3,265,6,3
22,3,2,359,6,3
22,4,3,265,6,2
22,5,2,359,6,2
23,1,2,339,6,3
23,2,1,314,6,3
23,3,2,339,6,4
23,4,2,339,6,3
23,5,2,339,6,6
24,1,4,747,6,2
24,2,3,293,6,2
24,3,1,372,6,2
24,4,1,372,6,5
24,5,3,293,6,5
24,6,2,682,6,5
25,1,1,763,6,4
25,2,1,763,6,6
25,3,1,763,6,6
25,4,2,328,6,4
25,5,1,763,6,6
25,6,1,763,6,6
26,1,2,684,6,5
26,2,1,306,6,5
26,3,2,684,6,2
26,4,2,684,6,5
26,5,1,306,6,2
26,6,1,306,6,2
26,7,2,684,6,5
26,8,2,684,6,2
27,1,2,729,6,4
27,2,2,729,6,4
27,3,1,260,6,5
27,4,1,260,6,5
27,5,1,260,6,5
27,6,2,729,6,5
28,1,2,535,6,2
28,2,2,535,6,2
28,3,1,714,6,6
28,4,2,535,6,3
28,5,2,535,6,3
29,1,2,516,6,3
29,2,4,543,6,6
29,3,3,723,6,6
29,4,2,516,6,2
29,5,1,687,6,2
29,6,4,543,6,5
29,7,1,687,6,5
29,8,4,543,6,3
30,1,1,273,6,2
30,2,1,273,6,3
30,3,1,273,6,2
30,4,1,273,6,4
